"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","470n","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C2,C6,C10","100n","~","Capacitor_SMD:C_1206_3216Metric","3",""
"C3,C5,C15","220n","~","Capacitor_SMD:C_1206_3216Metric","3",""
"C4,C14","10u","~","Capacitor_SMD:CP_Elec_4x4.5","2",""
"C7,C8","22u","~","Capacitor_SMD:C_1206_3216Metric","2",""
"C9","4n7","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C11","47u","~","Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T","1",""
"C12","1u","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C13","4.7n","~","Capacitor_SMD:C_1206_3216Metric","1",""
"D1,D4","SS34","-- mixed values --","Diode_SMD:D_SMA","2",""
"D2","Green","~","LED_SMD:LED_1206_3216Metric","1",""
"D5","Blu","~","LED_SMD:LED_1206_3216Metric","1",""
"D6","Red","~","LED_SMD:LED_1206_3216Metric","1",""
"J1","SOLAR","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J2","BATTERY","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J3","SWITCH","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J4","PRG","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1",""
"J6","Conn_01x05_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"JP1","Jumper_2_Bridged","~","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","1",""
"L1","47uH","~","Inductor_SMD:L_Chilisin_BMRB00060650","1",""
"L2","22uH","~","Inductor_SMD:L_Chilisin_BMRB00060650","1",""
"Q1,Q5","AO3401A","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","Package_TO_SOT_SMD:SOT-23","2",""
"Q2,Q4","2SK3018","~","Package_TO_SOT_SMD:SOT-23_Handsoldering","2",""
"R1,R3,R18,R19","2k2","~","Resistor_SMD:R_1206_3216Metric","4",""
"R2","R050","~","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","1",""
"R4,R8,R10,R22","220","~","Resistor_SMD:R_1206_3216Metric","4",""
"R5","33K","~","Resistor_SMD:R_1206_3216Metric","1",""
"R6,R7,R9","10K","~","Resistor_SMD:R_1206_3216Metric","3",""
"R11,R12","10","~","Resistor_SMD:R_1206_3216Metric","2",""
"R14",".1","~","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","1",""
"R16","15k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R17","2k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R21","120","~","Resistor_SMD:R_1206_3216Metric","1",""
"RV2","100K","~","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"U1","MT3608","https://www.olimex.com/Products/Breadboarding/BB-PWR-3608/resources/MT3608.pdf","Package_TO_SOT_SMD:SOT-23-6","1",""
"U2","INA219AxD","http://www.ti.com/lit/ds/symlink/ina219.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U3","CN3791","","Package_SO:SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm","1",""
"U4","ESP32-DEVKITC","","esp32:MODULE_ESP32-DEVKITC-bottom","1",""
"U5","ATtiny25-20S","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf","Package_SO:SOIC-8W_5.3x5.3mm_P1.27mm","1",""
"U6","E22-900M30S","","ebyte:XCVR_E22-900M30S","1",""
